"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
11.30 MHz,0.900 / -54.149 ,0.878 / 43.792 ,0.381 / 82.559 
11.31 MHz,0.899 / -54.298 ,0.877 / 43.515 ,0.383 / 82.334 
11.32 MHz,0.898 / -54.448 ,0.877 / 43.238 ,0.385 / 82.109 
11.33 MHz,0.897 / -54.599 ,0.876 / 42.960 ,0.387 / 81.883 
11.34 MHz,0.896 / -54.751 ,0.875 / 42.682 ,0.389 / 81.656 
11.35 MHz,0.895 / -54.904 ,0.874 / 42.402 ,0.391 / 81.429 
11.36 MHz,0.894 / -55.057 ,0.873 / 42.122 ,0.392 / 81.200 
11.37 MHz,0.893 / -55.212 ,0.872 / 41.841 ,0.394 / 80.970 
11.38 MHz,0.892 / -55.367 ,0.871 / 41.559 ,0.396 / 80.739 
11.39 MHz,0.891 / -55.523 ,0.870 / 41.276 ,0.398 / 80.507 
11.40 MHz,0.890 / -55.681 ,0.869 / 40.993 ,0.400 / 80.275 
11.41 MHz,0.889 / -55.839 ,0.868 / 40.708 ,0.402 / 80.041 
11.42 MHz,0.888 / -55.998 ,0.867 / 40.423 ,0.404 / 79.806 
11.43 MHz,0.887 / -56.158 ,0.866 / 40.138 ,0.406 / 79.571 
11.44 MHz,0.885 / -56.319 ,0.865 / 39.851 ,0.408 / 79.334 
11.45 MHz,0.884 / -56.481 ,0.864 / 39.563 ,0.410 / 79.096 
11.46 MHz,0.883 / -56.643 ,0.863 / 39.275 ,0.412 / 78.858 
11.47 MHz,0.882 / -56.807 ,0.862 / 38.986 ,0.414 / 78.618 
11.48 MHz,0.881 / -56.972 ,0.861 / 38.696 ,0.416 / 78.377 
11.49 MHz,0.879 / -57.138 ,0.860 / 38.405 ,0.418 / 78.135 
11.50 MHz,0.878 / -57.304 ,0.859 / 38.114 ,0.420 / 77.892 
11.51 MHz,0.877 / -57.472 ,0.857 / 37.821 ,0.422 / 77.648 
11.52 MHz,0.876 / -57.641 ,0.856 / 37.528 ,0.424 / 77.403 
11.53 MHz,0.874 / -57.811 ,0.855 / 37.234 ,0.426 / 77.157 
11.54 MHz,0.873 / -57.982 ,0.854 / 36.939 ,0.428 / 76.910 
11.55 MHz,0.872 / -58.153 ,0.853 / 36.643 ,0.430 / 76.662 
11.56 MHz,0.871 / -58.326 ,0.852 / 36.347 ,0.433 / 76.412 
