freq	dB(S(2,2))
1.34899999999999998E7	-1.45588048887101507E1
1.35000000000000009E7	-1.46600426752605095E1
1.35099999999999998E7	-1.47510433890383474E1
1.35199999999999987E7	-1.48311063695275913E1
1.35300000000000020E7	-1.48995945384148132E1
1.35400000000000009E7	-1.49559507650239354E1
1.35499999999999998E7	-1.49997130904531728E1
1.35599999999999987E7	-1.50305279891278687E1
1.35699999999999976E7	-1.50481608982271386E1
1.35800000000000010E7	-1.50525033701956867E1
1.35899999999999999E7	-1.50435763940362555E1
1.35999999999999988E7	-1.50215296701367684E1
1.36099999999999999E7	-1.49866368860351207E1
1.36199999999999988E7	-1.49392872979333835E1
1.36299999999999999E7	-1.48799741470124758E1
1.36400000000000010E7	-1.48092806080618544E1
1.36499999999999999E7	-1.47278640669116156E1
1.36600000000000010E7	-1.46364395489528221E1
1.36699999999999977E7	-1.45357630797169612E1
1.36800000000000010E7	-1.44266156633281484E1
1.36900000000000022E7	-1.43097884332177960E1
1.36999999999999988E7	-1.41860693803732030E1
1.37100000000000000E7	-1.40562319141879466E1
1.37199999999999989E7	-1.39210253730196265E1
1.37300000000000000E7	-1.37811674845015686E1
1.37400000000000011E7	-1.36373386841121413E1
1.37500000000000000E7	-1.34901781352492445E1
1.37599999999999989E7	-1.33402812532545023E1
1.37700000000000000E7	-1.31881985160221094E1
1.37800000000000011E7	-1.30344353406446123E1
1.37900000000000000E7	-1.28794528145462728E1
1.38000000000000012E7	-1.27236690868554292E1
1.38099999999999978E7	-1.25674612477744785E1
1.38199999999999990E7	-1.24111675477798866E1
1.38300000000000023E7	-1.22550898327618762E1
1.38399999999999990E7	-1.20994960941298846E1
1.38500000000000001E7	-1.19446230538170117E1
1.38599999999999990E7	-1.17906787224550591E1
1.38700000000000001E7	-1.16378448847322691E1
1.38800000000000012E7	-1.14862794790247591E1
1.38900000000000001E7	-1.13361188491341602E1
1.39000000000000012E7	-1.11874798545024889E1
1.39100000000000001E7	-1.10404618319803749E1
1.39199999999999990E7	-1.08951484073373606E1
1.39300000000000024E7	-1.07516091585059526E1
1.39400000000000013E7	-1.06099011352877137E1
1.39500000000000002E7	-1.04700702421440939E1
1.39599999999999991E7	-1.03321524918928453E1
1.39699999999999980E7	-1.01961751388450406E1
1.39800000000000013E7	-1.00621577002053164E1
1.39900000000000002E7	-9.93011287458752356E0
1.39999999999999991E7	-9.80004736629220474E0
1.40100000000000002E7	-9.67196262365419912E0
1.40199999999999991E7	-9.54585549933966959E0
1.40300000000000002E7	-9.42171883996840975E0
1.40400000000000014E7	-9.29954201192247609E0
1.40500000000000003E7	-9.17931136966948102E0
1.40599999999999992E7	-9.06101067240285118E0
1.40699999999999981E7	-8.94462145430099831E0
1.40800000000000014E7	-8.83012335321848418E0
1.40900000000000003E7	-8.71749440217435279E0
1.40999999999999992E7	-8.60671128758374238E0
1.41100000000000003E7	-8.49774957777954576E0
1.41199999999999992E7	-8.39058392502484907E0
1.41300000000000003E7	-8.28518824388290831E0
1.41400000000000015E7	-8.18153586851677517E0
1.41500000000000004E7	-8.07959969122160260E0
1.41599999999999993E7	-7.97935228424918019E0
1.41699999999999982E7	-7.88076600676487793E0
1.41800000000000015E7	-7.78381309858034065E0
1.41900000000000004E7	-7.68846576213070065E0
1.41999999999999993E7	-7.59469623400121474E0
1.42099999999999982E7	-7.50247684717160990E0
1.42199999999999993E7	-7.41178008501829577E0
1.42300000000000004E7	-7.32257862799896131E0
1.42399999999999993E7	-7.23484539384585368E0
1.42500000000000004E7	-7.14855357200161468E0
1.42599999999999993E7	-7.06367665295321778E0
1.42700000000000005E7	-6.98018845304687741E0
1.42800000000000016E7	-6.89806313529960224E0
1.42900000000000005E7	-6.81727522667425312E0
1.43000000000000016E7	-6.73779963222499134E0
1.43099999999999983E7	-6.65961164648075155E0
1.43199999999999994E7	-6.58268696239255213E0
1.43300000000000027E7	-6.50700167813439645E0
1.43399999999999994E7	-6.43253230201499449E0
1.43500000000000005E7	-6.35925575573121016E0
1.43599999999999994E7	-6.28714937616588276E0
1.43699999999999983E7	-6.21619091591275641E0
1.43800000000000017E7	-6.14635854269038084E0
1.43900000000000006E7	-6.07763083778671298E0
1.43999999999999995E7	-6.00998679366517052E0
1.44100000000000006E7	-5.94340581084293262E0
1.44199999999999973E7	-5.87786769414319199E0
1.44300000000000006E7	-5.81335264841236388E0
1.44400000000000017E7	-5.74984127377904386E0
1.44499999999999984E7	-5.68731456052767204E0
1.44599999999999995E7	-5.62575388364781226E0
1.44699999999999984E7	-5.56514099711568910E0
1.44799999999999995E7	-5.50545802795524875E0
1.44900000000000007E7	-5.44668747012454979E0
1.44999999999999996E7	-5.38881217826297565E0
1.45100000000000007E7	-5.33181536133574951E0
1.45199999999999996E7	-5.27568057620288755E0
1.45300000000000007E7	-5.22039172114143746E0
1.45400000000000018E7	-5.16593302934108323E0
1.45500000000000007E7	-5.11228906239626113E0
1.45599999999999996E7	-5.05944470380949340E0
1.45699999999999985E7	-5.00738515252380267E0
1.45800000000000018E7	-4.95609591649478265E0
1.45900000000000007E7	-4.90556280631725095E0
1.45999999999999996E7	-4.85577192891255471E0
1.46099999999999985E7	-4.80670968128839426E0
1.46199999999999997E7	-4.75836274437594753E0
1.46300000000000008E7	-4.71071807695205180E0
1.46399999999999997E7	-4.66376290965038542E0
1.46500000000000008E7	-4.61748473906642154E0
1.46599999999999997E7	-4.57187132195987722E0
1.46699999999999986E7	-4.52691066955616339E0
1.46800000000000019E7	-4.48259104195103664E0
1.46900000000000008E7	-4.43890094261768908E0
1.46999999999999997E7	-4.39582911301913093E0
1.47099999999999986E7	-4.35336452732572354E0
1.47199999999999998E7	-4.31149638723840312E0
1.47300000000000009E7	-4.27021411691773700E0
1.47399999999999998E7	-4.22950735801774869E0
1.47500000000000009E7	-4.18936596482583035E0
1.47599999999999998E7	-4.14977999950516363E0
1.47699999999999987E7	-4.11073972744151650E0
1.47800000000000020E7	-4.07223561269160594E0
1.47900000000000009E7	-4.03425831353235598E0
1.47999999999999998E7	-3.99679867810936962E0
1.48099999999999987E7	-3.95984774018413743E0
1.48199999999999976E7	-3.92339671497720666E0
1.48300000000000010E7	-3.88743699510612739E0
1.48399999999999999E7	-3.85196014661740005E0
1.48499999999999988E7	-3.81695790510929100E0
1.48599999999999999E7	-3.78242217194502350E0
1.48699999999999988E7	-3.74834501055388225E0
1.48799999999999999E7	-3.71471864281868847E0
1.48900000000000010E7	-3.68153544554792767E0
1.48999999999999999E7	-3.64878794703086218E0
1.49100000000000010E7	-3.61646882367354250E0
1.49199999999999977E7	-3.58457089671408324E0
1.49300000000000010E7	-3.55308712901573909E0
1.49400000000000022E7	-3.52201062193570102E0
1.49499999999999988E7	-3.49133461226783037E0
